scenario,model_key,n,p,s2,repeat,seed,config_id,varied_parameter,m,alpha,beta,k,precision_raw_local,recall_raw_local,f1_raw_local,r_miss_raw_local,n_selected_raw_local,precision_raw_global_max,recall_raw_global_max,f1_raw_global_max,r_miss_raw_global_max,n_selected_raw_global_max,precision_raw_global_se,recall_raw_global_se,f1_raw_global_se,r_miss_raw_global_se,n_selected_raw_global_se,precision_logml_local,recall_logml_local,f1_logml_local,r_miss_logml_local,n_selected_logml_local,precision_logml_global_max,recall_logml_global_max,f1_logml_global_max,r_miss_logml_global_max,n_selected_logml_global_max,precision_logml_global_se,recall_logml_global_se,f1_logml_global_se,r_miss_logml_global_se,n_selected_logml_global_se,status,error
cc1,continuous,500,50,1.0,3,3515536757,k_high,k,20,0.95,2.0,3.0,0.625,1.0,0.7692307692307693,0.0,8.0,1.0,1.0,1.0,0.0,5.0,1.0,1.0,1.0,0.0,5.0,1.0,0.8,0.888888888888889,1.0,4.0,1.0,0.6,0.7499999999999999,1.0,3.0,1.0,0.8,0.888888888888889,1.0,4.0,complete,
cc1,continuous,500,50,1.0,4,2383792142,reference,reference,20,0.95,2.0,2.0,0.6666666666666666,0.8,0.7272727272727272,1.0,6.0,1.0,0.8,0.888888888888889,1.0,4.0,1.0,0.8,0.888888888888889,1.0,4.0,1.0,0.8,0.888888888888889,1.0,4.0,1.0,0.8,0.888888888888889,1.0,4.0,1.0,0.8,0.888888888888889,1.0,4.0,complete,
cc1,continuous,500,50,1.0,4,2383792142,m_low,m,10,0.95,2.0,2.0,0.5714285714285714,0.8,0.6666666666666666,1.0,7.0,1.0,0.6,0.7499999999999999,1.0,3.0,1.0,0.8,0.888888888888889,1.0,4.0,1.0,0.8,0.888888888888889,1.0,4.0,1.0,0.4,0.5714285714285715,1.0,2.0,1.0,0.8,0.888888888888889,1.0,4.0,complete,
cc1,continuous,500,50,1.0,4,2383792142,m_high,m,50,0.95,2.0,2.0,0.8333333333333334,1.0,0.9090909090909091,0.0,6.0,1.0,1.0,1.0,0.0,5.0,1.0,1.0,1.0,0.0,5.0,1.0,1.0,1.0,0.0,5.0,1.0,0.8,0.888888888888889,1.0,4.0,1.0,0.8,0.888888888888889,1.0,4.0,complete,
cc1,continuous,500,50,1.0,4,2383792142,beta_low,beta,20,0.95,1.0,2.0,1.0,1.0,1.0,0.0,5.0,1.0,0.8,0.888888888888889,1.0,4.0,1.0,0.8,0.888888888888889,1.0,4.0,1.0,0.8,0.888888888888889,1.0,4.0,1.0,0.8,0.888888888888889,1.0,4.0,1.0,0.8,0.888888888888889,1.0,4.0,complete,
cc1,continuous,500,50,1.0,4,2383792142,beta_high,beta,20,0.95,3.0,2.0,1.0,1.0,1.0,0.0,5.0,1.0,0.6,0.7499999999999999,1.0,3.0,1.0,1.0,1.0,0.0,5.0,1.0,0.8,0.888888888888889,1.0,4.0,1.0,0.6,0.7499999999999999,1.0,3.0,1.0,0.8,0.888888888888889,1.0,4.0,complete,
cc1,continuous,500,50,1.0,4,2383792142,k_low,k,20,0.95,2.0,1.0,1.0,0.8,0.888888888888889,1.0,4.0,1.0,0.6,0.7499999999999999,1.0,3.0,1.0,0.8,0.888888888888889,1.0,4.0,1.0,0.8,0.888888888888889,1.0,4.0,1.0,0.4,0.5714285714285715,1.0,2.0,1.0,0.8,0.888888888888889,1.0,4.0,complete,
cc1,continuous,500,50,1.0,4,2383792142,k_high,k,20,0.95,2.0,3.0,1.0,1.0,1.0,0.0,5.0,1.0,0.8,0.888888888888889,1.0,4.0,1.0,1.0,1.0,0.0,5.0,1.0,0.8,0.888888888888889,1.0,4.0,1.0,0.6,0.7499999999999999,1.0,3.0,1.0,0.8,0.888888888888889,1.0,4.0,complete,
cc1,continuous,500,50,1.0,5,1571249157,reference,reference,20,0.95,2.0,2.0,0.625,1.0,0.7692307692307693,0.0,8.0,1.0,0.6,0.7499999999999999,1.0,3.0,1.0,0.8,0.888888888888889,1.0,4.0,1.0,1.0,1.0,0.0,5.0,1.0,0.2,0.33333333333333337,1.0,1.0,1.0,1.0,1.0,0.0,5.0,complete,
cc1,continuous,500,50,1.0,5,1571249157,m_low,m,10,0.95,2.0,2.0,0.5555555555555556,1.0,0.7142857142857143,0.0,9.0,1.0,0.2,0.33333333333333337,1.0,1.0,1.0,0.8,0.888888888888889,1.0,4.0,1.0,1.0,1.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,5.0,complete,
cc1,continuous,500,50,1.0,5,1571249157,m_high,m,50,0.95,2.0,2.0,0.7142857142857143,1.0,0.8333333333333333,0.0,7.0,1.0,1.0,1.0,0.0,5.0,0.8333333333333334,1.0,0.9090909090909091,0.0,6.0,1.0,1.0,1.0,0.0,5.0,1.0,0.6,0.7499999999999999,1.0,3.0,1.0,1.0,1.0,0.0,5.0,complete,
cc1,continuous,500,50,1.0,5,1571249157,beta_low,beta,20,0.95,1.0,2.0,0.625,1.0,0.7692307692307693,0.0,8.0,1.0,1.0,1.0,0.0,5.0,1.0,1.0,1.0,0.0,5.0,1.0,1.0,1.0,0.0,5.0,1.0,0.6,0.7499999999999999,1.0,3.0,1.0,1.0,1.0,0.0,5.0,complete,
cc1,continuous,500,50,1.0,5,1571249157,beta_high,beta,20,0.95,3.0,2.0,0.625,1.0,0.7692307692307693,0.0,8.0,1.0,0.8,0.888888888888889,1.0,4.0,0.7142857142857143,1.0,0.8333333333333333,0.0,7.0,0.8333333333333334,1.0,0.9090909090909091,0.0,6.0,1.0,0.4,0.5714285714285715,1.0,2.0,1.0,0.8,0.888888888888889,1.0,4.0,complete,
cc1,continuous,500,50,1.0,5,1571249157,k_low,k,20,0.95,2.0,1.0,0.625,1.0,0.7692307692307693,0.0,8.0,1.0,0.8,0.888888888888889,1.0,4.0,0.8,0.8,0.8000000000000002,1.0,5.0,1.0,1.0,1.0,0.0,5.0,1.0,0.2,0.33333333333333337,1.0,1.0,1.0,0.8,0.888888888888889,1.0,4.0,complete,
cc1,continuous,500,50,1.0,5,1571249157,k_high,k,20,0.95,2.0,3.0,0.7142857142857143,1.0,0.8333333333333333,0.0,7.0,1.0,0.4,0.5714285714285715,1.0,2.0,0.8333333333333334,1.0,0.9090909090909091,0.0,6.0,1.0,1.0,1.0,0.0,5.0,1.0,0.4,0.5714285714285715,1.0,2.0,1.0,1.0,1.0,0.0,5.0,complete,
cc1,continuous,500,50,1.0,6,2606987846,reference,reference,20,0.95,2.0,2.0,0.8333333333333334,1.0,0.9090909090909091,0.0,6.0,1.0,0.8,0.888888888888889,1.0,4.0,1.0,1.0,1.0,0.0,5.0,1.0,1.0,1.0,0.0,5.0,1.0,0.8,0.888888888888889,1.0,4.0,1.0,1.0,1.0,0.0,5.0,complete,
cc1,continuous,500,50,1.0,6,2606987846,m_low,m,10,0.95,2.0,2.0,0.8333333333333334,1.0,0.9090909090909091,0.0,6.0,1.0,0.4,0.5714285714285715,1.0,2.0,0.75,0.6,0.6666666666666665,1.0,4.0,1.0,1.0,1.0,0.0,5.0,1.0,0.6,0.7499999999999999,1.0,3.0,1.0,0.8,0.888888888888889,1.0,4.0,complete,
cc1,continuous,500,50,1.0,6,2606987846,m_high,m,50,0.95,2.0,2.0,0.8333333333333334,1.0,0.9090909090909091,0.0,6.0,1.0,1.0,1.0,0.0,5.0,1.0,1.0,1.0,0.0,5.0,1.0,1.0,1.0,0.0,5.0,1.0,1.0,1.0,0.0,5.0,1.0,1.0,1.0,0.0,5.0,complete,
cc1,continuous,500,50,1.0,6,2606987846,beta_low,beta,20,0.95,1.0,2.0,0.7142857142857143,1.0,0.8333333333333333,0.0,7.0,1.0,1.0,1.0,0.0,5.0,0.8333333333333334,1.0,0.9090909090909091,0.0,6.0,1.0,1.0,1.0,0.0,5.0,1.0,0.8,0.888888888888889,1.0,4.0,1.0,1.0,1.0,0.0,5.0,complete,
cc1,continuous,500,50,1.0,6,2606987846,beta_high,beta,20,0.95,3.0,2.0,0.7142857142857143,1.0,0.8333333333333333,0.0,7.0,1.0,0.8,0.888888888888889,1.0,4.0,1.0,0.8,0.888888888888889,1.0,4.0,1.0,1.0,1.0,0.0,5.0,1.0,0.6,0.7499999999999999,1.0,3.0,1.0,1.0,1.0,0.0,5.0,complete,
cc1,continuous,500,50,1.0,6,2606987846,k_low,k,20,0.95,2.0,1.0,1.0,1.0,1.0,0.0,5.0,1.0,0.8,0.888888888888889,1.0,4.0,1.0,1.0,1.0,0.0,5.0,1.0,1.0,1.0,0.0,5.0,1.0,0.8,0.888888888888889,1.0,4.0,1.0,1.0,1.0,0.0,5.0,complete,
cc1,continuous,500,50,1.0,6,2606987846,k_high,k,20,0.95,2.0,3.0,0.8333333333333334,1.0,0.9090909090909091,0.0,6.0,1.0,1.0,1.0,0.0,5.0,1.0,1.0,1.0,0.0,5.0,1.0,1.0,1.0,0.0,5.0,1.0,0.6,0.7499999999999999,1.0,3.0,1.0,1.0,1.0,0.0,5.0,complete,
cc1,continuous,500,50,1.0,7,1330605350,reference,reference,20,0.95,2.0,2.0,0.625,1.0,0.7692307692307693,0.0,8.0,1.0,0.8,0.888888888888889,1.0,4.0,0.7142857142857143,1.0,0.8333333333333333,0.0,7.0,1.0,0.8,0.888888888888889,1.0,4.0,1.0,0.6,0.7499999999999999,1.0,3.0,1.0,0.8,0.888888888888889,1.0,4.0,complete,
cc1,continuous,500,50,1.0,7,1330605350,m_low,m,10,0.95,2.0,2.0,0.7142857142857143,1.0,0.8333333333333333,0.0,7.0,1.0,0.2,0.33333333333333337,1.0,1.0,1.0,0.6,0.7499999999999999,1.0,3.0,0.8333333333333334,1.0,0.9090909090909091,0.0,6.0,1.0,0.2,0.33333333333333337,1.0,1.0,1.0,0.8,0.888888888888889,1.0,4.0,complete,
cc1,continuous,500,50,1.0,7,1330605350,m_high,m,50,0.95,2.0,2.0,0.7142857142857143,1.0,0.8333333333333333,0.0,7.0,1.0,1.0,1.0,0.0,5.0,1.0,1.0,1.0,0.0,5.0,1.0,1.0,1.0,0.0,5.0,1.0,0.6,0.7499999999999999,1.0,3.0,1.0,1.0,1.0,0.0,5.0,complete,
cc1,continuous,500,50,1.0,7,1330605350,beta_low,beta,20,0.95,1.0,2.0,0.5555555555555556,1.0,0.7142857142857143,0.0,9.0,1.0,0.8,0.888888888888889,1.0,4.0,0.7142857142857143,1.0,0.8333333333333333,0.0,7.0,1.0,1.0,1.0,0.0,5.0,1.0,0.6,0.7499999999999999,1.0,3.0,1.0,1.0,1.0,0.0,5.0,complete,
cc1,continuous,500,50,1.0,7,1330605350,beta_high,beta,20,0.95,3.0,2.0,0.5,1.0,0.6666666666666666,0.0,10.0,1.0,0.8,0.888888888888889,1.0,4.0,0.8,0.8,0.8000000000000002,1.0,5.0,1.0,0.8,0.888888888888889,1.0,4.0,1.0,0.6,0.7499999999999999,1.0,3.0,1.0,0.8,0.888888888888889,1.0,4.0,complete,
cc1,continuous,500,50,1.0,7,1330605350,k_low,k,20,0.95,2.0,1.0,0.7142857142857143,1.0,0.8333333333333333,0.0,7.0,1.0,1.0,1.0,0.0,5.0,0.8333333333333334,1.0,0.9090909090909091,0.0,6.0,1.0,1.0,1.0,0.0,5.0,1.0,0.6,0.7499999999999999,1.0,3.0,1.0,0.8,0.888888888888889,1.0,4.0,complete,
cc1,continuous,500,50,1.0,7,1330605350,k_high,k,20,0.95,2.0,3.0,0.8333333333333334,1.0,0.9090909090909091,0.0,6.0,1.0,0.8,0.888888888888889,1.0,4.0,1.0,1.0,1.0,0.0,5.0,1.0,1.0,1.0,0.0,5.0,1.0,0.6,0.7499999999999999,1.0,3.0,1.0,0.8,0.888888888888889,1.0,4.0,complete,
cc1,continuous,500,50,1.0,8,2835370909,reference,reference,20,0.95,2.0,2.0,0.8333333333333334,1.0,0.9090909090909091,0.0,6.0,1.0,1.0,1.0,0.0,5.0,1.0,1.0,1.0,0.0,5.0,1.0,0.8,0.888888888888889,1.0,4.0,1.0,0.6,0.7499999999999999,1.0,3.0,1.0,0.8,0.888888888888889,1.0,4.0,complete,
cc1,continuous,500,50,1.0,8,2835370909,m_low,m,10,0.95,2.0,2.0,0.8333333333333334,1.0,0.9090909090909091,0.0,6.0,1.0,0.4,0.5714285714285715,1.0,2.0,1.0,0.6,0.7499999999999999,1.0,3.0,1.0,0.8,0.888888888888889,1.0,4.0,1.0,0.4,0.5714285714285715,1.0,2.0,1.0,0.8,0.888888888888889,1.0,4.0,complete,
cc1,continuous,500,50,1.0,8,2835370909,m_high,m,50,0.95,2.0,2.0,1.0,1.0,1.0,0.0,5.0,1.0,1.0,1.0,0.0,5.0,1.0,1.0,1.0,0.0,5.0,1.0,1.0,1.0,0.0,5.0,1.0,0.6,0.7499999999999999,1.0,3.0,1.0,1.0,1.0,0.0,5.0,complete,
cc1,continuous,500,50,1.0,8,2835370909,beta_low,beta,20,0.95,1.0,2.0,0.5555555555555556,1.0,0.7142857142857143,0.0,9.0,1.0,1.0,1.0,0.0,5.0,1.0,1.0,1.0,0.0,5.0,1.0,1.0,1.0,0.0,5.0,1.0,0.6,0.7499999999999999,1.0,3.0,1.0,1.0,1.0,0.0,5.0,complete,
cc1,continuous,500,50,1.0,8,2835370909,beta_high,beta,20,0.95,3.0,2.0,0.7142857142857143,1.0,0.8333333333333333,0.0,7.0,1.0,0.6,0.7499999999999999,1.0,3.0,0.8333333333333334,1.0,0.9090909090909091,0.0,6.0,1.0,0.8,0.888888888888889,1.0,4.0,1.0,0.6,0.7499999999999999,1.0,3.0,1.0,0.8,0.888888888888889,1.0,4.0,complete,
cc1,continuous,500,50,1.0,8,2835370909,k_low,k,20,0.95,2.0,1.0,0.8333333333333334,1.0,0.9090909090909091,0.0,6.0,1.0,0.8,0.888888888888889,1.0,4.0,1.0,0.8,0.888888888888889,1.0,4.0,1.0,0.8,0.888888888888889,1.0,4.0,1.0,0.4,0.5714285714285715,1.0,2.0,1.0,0.8,0.888888888888889,1.0,4.0,complete,
cc1,continuous,500,50,1.0,8,2835370909,k_high,k,20,0.95,2.0,3.0,1.0,1.0,1.0,0.0,5.0,1.0,0.8,0.888888888888889,1.0,4.0,1.0,1.0,1.0,0.0,5.0,1.0,0.8,0.888888888888889,1.0,4.0,1.0,0.6,0.7499999999999999,1.0,3.0,1.0,0.8,0.888888888888889,1.0,4.0,complete,
cc1,continuous,500,50,1.0,9,4139395655,reference,reference,20,0.95,2.0,2.0,0.7142857142857143,1.0,0.8333333333333333,0.0,7.0,1.0,0.4,0.5714285714285715,1.0,2.0,1.0,0.8,0.888888888888889,1.0,4.0,1.0,1.0,1.0,0.0,5.0,1.0,0.6,0.7499999999999999,1.0,3.0,1.0,0.8,0.888888888888889,1.0,4.0,complete,
cc1,continuous,500,50,1.0,9,4139395655,m_low,m,10,0.95,2.0,2.0,0.6666666666666666,0.8,0.7272727272727272,1.0,6.0,1.0,0.4,0.5714285714285715,1.0,2.0,1.0,0.8,0.888888888888889,1.0,4.0,1.0,1.0,1.0,0.0,5.0,1.0,0.2,0.33333333333333337,1.0,1.0,1.0,0.8,0.888888888888889,1.0,4.0,complete,
cc1,continuous,500,50,1.0,9,4139395655,m_high,m,50,0.95,2.0,2.0,0.7142857142857143,1.0,0.8333333333333333,0.0,7.0,1.0,1.0,1.0,0.0,5.0,1.0,1.0,1.0,0.0,5.0,1.0,1.0,1.0,0.0,5.0,1.0,0.6,0.7499999999999999,1.0,3.0,1.0,0.8,0.888888888888889,1.0,4.0,complete,
cc1,continuous,500,50,1.0,9,4139395655,beta_low,beta,20,0.95,1.0,2.0,0.5555555555555556,1.0,0.7142857142857143,0.0,9.0,1.0,0.6,0.7499999999999999,1.0,3.0,1.0,1.0,1.0,0.0,5.0,1.0,1.0,1.0,0.0,5.0,1.0,0.6,0.7499999999999999,1.0,3.0,1.0,1.0,1.0,0.0,5.0,complete,
