scenario,model_key,n,p,s2,repeat,seed,config_id,varied_parameter,m,alpha,beta,k,precision_raw_local,recall_raw_local,f1_raw_local,r_miss_raw_local,n_selected_raw_local,precision_raw_global_max,recall_raw_global_max,f1_raw_global_max,r_miss_raw_global_max,n_selected_raw_global_max,precision_raw_global_se,recall_raw_global_se,f1_raw_global_se,r_miss_raw_global_se,n_selected_raw_global_se,precision_logml_local,recall_logml_local,f1_logml_local,r_miss_logml_local,n_selected_logml_local,precision_logml_global_max,recall_logml_global_max,f1_logml_global_max,r_miss_logml_global_max,n_selected_logml_global_max,precision_logml_global_se,recall_logml_global_se,f1_logml_global_se,r_miss_logml_global_se,n_selected_logml_global_se,true_variables,selected_raw_local,selected_raw_global_max,selected_raw_global_se,selected_logml_local,selected_logml_global_max,selected_logml_global_se,status,error
cc1,continuous,500,50,1.0,0,3205166699,reference,reference,20,0.95,2.0,2.0,0.7142857142857143,1.0,0.8333333333333333,0.0,7.0,1.0,0.8,0.888888888888889,1.0,4.0,1.0,0.6,0.7499999999999999,1.0,3.0,1.0,0.8,0.888888888888889,1.0,4.0,1.0,0.6,0.7499999999999999,1.0,3.0,1.0,0.8,0.888888888888889,1.0,4.0,"[0, 1, 2, 3, 4]","[0, 1, 2, 3, 4, 38, 42]","[0, 1, 3, 4]","[0, 1, 4]","[0, 1, 3, 4]","[0, 1, 3]","[0, 1, 3, 4]",complete,
cc1,continuous,500,50,1.0,0,3205166699,m_low,m,10,0.95,2.0,2.0,0.8333333333333334,1.0,0.9090909090909091,0.0,6.0,1.0,1.0,1.0,0.0,5.0,1.0,1.0,1.0,0.0,5.0,1.0,0.8,0.888888888888889,1.0,4.0,1.0,0.6,0.7499999999999999,1.0,3.0,1.0,0.8,0.888888888888889,1.0,4.0,"[0, 1, 2, 3, 4]","[0, 1, 2, 3, 4, 42]","[0, 1, 2, 3, 4]","[0, 1, 2, 3, 4]","[0, 1, 3, 4]","[0, 1, 3]","[0, 1, 3, 4]",complete,
cc1,continuous,500,50,1.0,0,3205166699,m_high,m,50,0.95,2.0,2.0,0.8333333333333334,1.0,0.9090909090909091,0.0,6.0,1.0,1.0,1.0,0.0,5.0,0.8333333333333334,1.0,0.9090909090909091,0.0,6.0,1.0,1.0,1.0,0.0,5.0,1.0,0.6,0.7499999999999999,1.0,3.0,1.0,1.0,1.0,0.0,5.0,"[0, 1, 2, 3, 4]","[0, 1, 2, 3, 4, 26]","[0, 1, 2, 3, 4]","[0, 1, 2, 3, 4, 26]","[0, 1, 2, 3, 4]","[0, 1, 3]","[0, 1, 2, 3, 4]",complete,
cc1,continuous,500,50,1.0,0,3205166699,beta_low,beta,20,0.95,1.0,2.0,0.8333333333333334,1.0,0.9090909090909091,0.0,6.0,1.0,0.8,0.888888888888889,1.0,4.0,0.8333333333333334,1.0,0.9090909090909091,0.0,6.0,1.0,1.0,1.0,0.0,5.0,1.0,0.8,0.888888888888889,1.0,4.0,1.0,0.8,0.888888888888889,1.0,4.0,"[0, 1, 2, 3, 4]","[0, 1, 2, 3, 4, 23]","[0, 1, 3, 4]","[0, 1, 2, 3, 4, 23]","[0, 1, 2, 3, 4]","[0, 1, 3, 4]","[0, 1, 3, 4]",complete,
cc1,continuous,500,50,1.0,0,3205166699,beta_high,beta,20,0.95,3.0,2.0,0.5714285714285714,0.8,0.6666666666666666,1.0,7.0,1.0,0.8,0.888888888888889,1.0,4.0,0.8,0.8,0.8000000000000002,1.0,5.0,1.0,0.8,0.888888888888889,1.0,4.0,1.0,0.6,0.7499999999999999,1.0,3.0,1.0,0.8,0.888888888888889,1.0,4.0,"[0, 1, 2, 3, 4]","[0, 1, 3, 4, 9, 25, 28]","[0, 1, 3, 4]","[0, 1, 3, 4, 28]","[0, 1, 3, 4]","[0, 1, 3]","[0, 1, 3, 4]",complete,
cc1,continuous,500,50,1.0,0,3205166699,k_low,k,20,0.95,2.0,1.0,1.0,1.0,1.0,0.0,5.0,1.0,0.8,0.888888888888889,1.0,4.0,1.0,1.0,1.0,0.0,5.0,1.0,0.8,0.888888888888889,1.0,4.0,1.0,0.6,0.7499999999999999,1.0,3.0,1.0,0.8,0.888888888888889,1.0,4.0,"[0, 1, 2, 3, 4]","[0, 1, 2, 3, 4]","[0, 1, 3, 4]","[0, 1, 2, 3, 4]","[0, 1, 3, 4]","[0, 1, 3]","[0, 1, 3, 4]",complete,
cc1,continuous,500,50,1.0,0,3205166699,k_high,k,20,0.95,2.0,3.0,1.0,1.0,1.0,0.0,5.0,1.0,0.6,0.7499999999999999,1.0,3.0,1.0,0.6,0.7499999999999999,1.0,3.0,1.0,0.8,0.888888888888889,1.0,4.0,1.0,0.4,0.5714285714285715,1.0,2.0,1.0,0.8,0.888888888888889,1.0,4.0,"[0, 1, 2, 3, 4]","[0, 1, 2, 3, 4]","[1, 3, 4]","[1, 3, 4]","[0, 1, 3, 4]","[1, 3]","[0, 1, 3, 4]",complete,
cc1,continuous,500,50,1.0,1,35825411,reference,reference,20,0.95,2.0,2.0,0.7142857142857143,1.0,0.8333333333333333,0.0,7.0,1.0,0.6,0.7499999999999999,1.0,3.0,1.0,1.0,1.0,0.0,5.0,1.0,1.0,1.0,0.0,5.0,1.0,0.6,0.7499999999999999,1.0,3.0,1.0,1.0,1.0,0.0,5.0,"[0, 1, 2, 3, 4]","[0, 1, 2, 3, 4, 23, 37]","[0, 3, 4]","[0, 1, 2, 3, 4]","[0, 1, 2, 3, 4]","[0, 1, 3]","[0, 1, 2, 3, 4]",complete,
cc1,continuous,500,50,1.0,1,35825411,m_low,m,10,0.95,2.0,2.0,0.6666666666666666,0.8,0.7272727272727272,1.0,6.0,1.0,0.6,0.7499999999999999,1.0,3.0,1.0,0.6,0.7499999999999999,1.0,3.0,1.0,0.8,0.888888888888889,1.0,4.0,1.0,0.6,0.7499999999999999,1.0,3.0,1.0,0.8,0.888888888888889,1.0,4.0,"[0, 1, 2, 3, 4]","[0, 1, 3, 4, 27, 33]","[1, 3, 4]","[0, 3, 4]","[0, 1, 3, 4]","[0, 1, 3]","[0, 1, 3, 4]",complete,
cc1,continuous,500,50,1.0,1,35825411,m_high,m,50,0.95,2.0,2.0,0.8333333333333334,1.0,0.9090909090909091,0.0,6.0,1.0,1.0,1.0,0.0,5.0,1.0,1.0,1.0,0.0,5.0,1.0,1.0,1.0,0.0,5.0,1.0,0.8,0.888888888888889,1.0,4.0,1.0,1.0,1.0,0.0,5.0,"[0, 1, 2, 3, 4]","[0, 1, 2, 3, 4, 44]","[0, 1, 2, 3, 4]","[0, 1, 2, 3, 4]","[0, 1, 2, 3, 4]","[0, 1, 3, 4]","[0, 1, 2, 3, 4]",complete,
